Gender,bodyFrame_Breadth,skin_Nature,skin_Color,weight_Changes,nails_color,teeth_Color,teeth_Shape,recalling_speed,memorizing_speed,sleep_Amount,sleep_Quality,speaking_Amount,speaking_Speed,walking_Speed,bowel_Freq,retainingFriends_quality,dreams_Amount,voice_clear,eye_Color,healthproblem_in_temp,hair_Growth,hair_Type,hair_Nature2,appetite_Amount,appetite_Frequency,bladder_Frequency,perspiration_Amount,stool_Consistency,mental_Power,physical_Power,Anger_Freq,Irritability_speed,speech_Argumentative,class
Male,Medium,Dry,Whitish,Gainandloseeasily,PaleYellow,MilkyWhite,Regular,Moderately,Moderately,Medium,Sound,Moderate,Quick,Quick/Fast/Brisk,Regular,Medium,Low,Non_Clear,LightBrown,None,Moderate,Thin,Non_Falling,Medium,Regular,Regular,Medium,Medium,Grade2,Grade2,Poor,Quickly,Non_Argumentative,Pitta
Female,Thin/Narrow,Normal,Dark,Difficultyingaining,Pink,Yellowish,Regular,Moderately,Moderately,Medium,Shallow,Excessive,Medium,Quick/Fast/Brisk,Regular,Medium,Medium,Non_Clear,DarkBrown,Cold,Moderate,Thin,Falling,Low,Regular,Regular,Low,Medium,Grade1,Grade2,Medium,Moderately,Non_Argumentative,Vata
Male,Thin/Narrow,Dry,FairPaleYellow,Gainandloseeasily,PaleYellow,Yellowish,Regular,Slowly,Moderately,Variable,Shallow,Moderate,Medium,Quick/Fast/Brisk,Regular,Medium,Medium,Non_Clear,LightBrown,Cold,Scanty,Thin,Non_Falling,Medium,Irregular,Regular,Low,Hard,Grade1,Grade2,Medium,Quickly,Non_Argumentative,Vata
Male,Thin/Narrow,Dry,FairPaleYellow,Gainandloseeasily,Pink,Dull/Blackish,Regular,Moderately,Slowly,Medium,Shallow,Moderate,Slow,Medium,Regular,Medium,Medium,Non_Clear,DarkBrown,Warm,Moderate,Thin,Falling,Medium,Irregular,Irregular,Medium,Hard,Grade1,Grade1,Medium,Quickly,Non_Argumentative,Vata
Male,Broad,Oily,Dark,Stable,Pink,Yellowish,Regular,Moderately,Moderately,High,Deep,Less,Slow,Slow,Regular,Medium,Medium,Clear,DarkBrown,Warm,Moderate,Thin,Non_Falling,Medium,Regular,Regular,Low,Medium,Grade2,Grade2,Medium,Slowly,Non_Argumentative,Kapha
Female,Medium,Dry,Whitish,Gaineasilyandlosewithdifficulty,Pink,Yellowish,Irregular,Quickly,Quickly,Medium,Sound,Moderate,Medium,Medium,Regular,Good,Medium,Clear,DarkBrown,Warm,Moderate,Thin,Falling,High,Regular,Regular,High,Loose/Soft/Semisolid,Grade1,Grade2,Good,Quickly,Non_Argumentative,Pitta
Female,Thin/Narrow,Dry,Whitish,Difficultyingaining,Reddish,Yellowish,Irregular,Moderately,Moderately,Medium,Shallow,Excessive,Medium,Medium,Regular,Medium,Medium,Non_Clear,DarkBrown,Warm,Moderate,Thin,Falling,Variable,Irregular,Regular,Medium,Medium,Grade2,Grade2,Medium,Quickly,Non_Argumentative,Vata
Male,Medium,Normal,Dark,Stable,PaleYellow,Yellowish,Regular,Moderately,Moderately,Medium,Shallow,Moderate,Medium,Medium,Regular,Medium,Medium,Non_Clear,DarkBrown,Cold,Moderate,Thick,Non_Falling,Variable,Irregular,Regular,Low,Hard,Grade2,Grade2,Medium,Slowly,Non_Argumentative,Vata
Female,Thin/Narrow,Normal,Dark,Gainandloseeasily,PaleYellow,Yellowish,Regular,Moderately,Moderately,Medium,Shallow,Excessive,Quick,Quick/Fast/Brisk,Regular,Medium,Medium,Clear,DarkBrown,Both,Moderate,Thin,Falling,Medium,Regular,Regular,High,Medium,Grade1,Grade2,Poor,Moderately,Non_Argumentative,Vata
Male,Thin/Narrow,Dry,Dark,Difficultyingaining,PaleYellow,Yellowish,Regular,Moderately,Moderately,Low,Sound,Excessive,Medium,Medium,Regular,Medium,Medium,Non_Clear,DarkBrown,Warm,Moderate,Thick,Falling,Medium,Regular,Regular,Medium,Medium,Grade2,Grade2,Poor,Moderately,Non_Argumentative,Vata
Male,Medium,Normal,Whitish,Stable,Reddish,Yellowish,Regular,Moderately,Moderately,Medium,Shallow,Moderate,Medium,Medium,Regular,Medium,Low,Clear,LightBrown,Cold,Moderate,Thick,Non_Falling,Medium,Irregular,Regular,High,Medium,Grade2,Grade2,Medium,Quickly,Non_Argumentative,Pitta
Male,Medium,Normal,FairReddish,Gainandloseeasily,Pink,MilkyWhite,Regular,Moderately,Quickly,Medium,Sound,Moderate,Medium,Medium,Regular,Medium,Low,Clear,LightBrown,Warm,Scanty,Thin,Falling,Medium,Regular,Regular,Medium,Medium,Grade2,Grade2,Medium,Slowly,Non_Argumentative,Pitta
Female,Medium,Normal,Dark,Gainandloseeasily,Pink,MilkyWhite,Regular,Quickly,Quickly,Medium,Sound,Moderate,Slow,Slow,Regular,Medium,Variable,Non_Clear,Black,Cold,Moderate,Thin,Falling,Medium,Regular,Regular,Low,Medium,Grade2,Grade3,Medium,Slowly,Non_Argumentative,Kapha
Female,Medium,Normal,FairReddish,Stable,PaleYellow,MilkyWhite,Regular,Moderately,Moderately,Medium,Sound,Moderate,Medium,Medium,Regular,Medium,Variable,Clear,LightBrown,Warm,Moderate,Thin,Falling,Medium,Regular,Regular,High,Medium,Grade2,Grade2,Medium,Quickly,Argumentative,Pitta
Female,Medium,Normal,Whitish,Difficultyingaining,PaleYellow,Yellowish,Regular,Moderately,Slowly,Low,Shallow,Moderate,Medium,Medium,Regular,Medium,Medium,Non_Clear,DarkBrown,None,Moderate,Thin,Falling,Medium,Regular,Regular,Medium,Hard,Grade2,Grade2,Medium,Moderately,Non_Argumentative,Vata
